Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C64","220μF","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",198.120000,-57.785000,0.000000,top
"C66","50pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",204.747500,-60.568000,0.000000,top
"C69","220μF","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",198.120000,-61.341000,0.000000,top
"C72","100pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",202.147500,-61.468000,-90.000000,top
"C74","50pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",204.747500,-56.998000,0.000000,top
"C78","100pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",202.147500,-57.898000,-90.000000,top
"C83","50pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",204.747500,-53.456000,0.000000,top
"C84","220μF","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",198.094000,-54.229000,0.000000,top
"C85","100pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",202.147500,-54.356000,-90.000000,top
"D1","PESD5V0U1BA","D_SOD-323_HandSoldering",207.750000,-54.622000,-90.000000,top
"D2","PESD5V0U1BA","D_SOD-323_HandSoldering",207.750000,-58.922000,-90.000000,top
"D3","PESD5V0U1BA","D_SOD-323_HandSoldering",210.050000,-58.922000,-90.000000,top
"D4","PESD5V0U1BA","D_SOD-323_HandSoldering",212.350000,-58.922000,-90.000000,top
"FIL15","390nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",204.747500,-62.368000,180.000000,top
"FIL16","390nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",204.747500,-58.798000,180.000000,top
"FIL17","390nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",204.747500,-55.256000,180.000000,top
"R37","75Ω","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",208.450000,-62.122000,0.000000,top
"R39","75Ω","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",208.450000,-65.922000,180.000000,top
"R40","75Ω","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",208.450000,-64.022000,180.000000,top
